@relation Titanic_test_processed_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted Survived_binarized' {0,1}
@attribute Survived_binarized {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Embarked {S,C,Q}
@attribute 'Age Group' {Adult,NK,Child,Adolescent,Senior}
@attribute Relatives numeric

@data
0.622184,0,?,3,male,Q,Adult,0
-0.179487,1,?,3,female,S,Adult,1
0.622184,0,?,2,male,Q,Adult,0
0.622184,0,?,3,male,S,Adult,0
-0.179487,1,?,3,female,S,Adult,2
0.622184,0,?,3,male,S,Adolescent,0
-0.179487,1,?,3,female,Q,Adult,0
0.622184,0,?,2,male,S,Adult,2
-0.179487,1,?,3,female,C,Adult,0
0.622184,0,?,3,male,S,Adult,2
0.622184,0,?,3,male,S,NK,0
0.622184,0,?,1,male,S,Adult,0
-0.934783,1,?,1,female,S,Adult,1
0.622184,0,?,2,male,S,Adult,1
-0.934783,1,?,1,female,S,Adult,1
-0.842105,1,?,2,female,C,Adult,1
0.622184,0,?,2,male,Q,Adult,0
0.622184,0,?,3,male,C,Adult,0
-0.179487,1,?,3,female,S,Adult,1
-0.179487,1,?,3,female,C,Adult,0
0.622184,0,?,1,male,C,Adult,1
0.622184,0,?,3,male,S,Child,1
-0.934783,1,?,1,female,S,NK,0
0.622184,0,?,1,male,C,Adult,1
-0.934783,1,?,1,female,C,Adult,4
0.622184,0,?,3,male,S,Adult,1
-0.934783,1,?,1,female,C,Adult,1
0.622184,0,?,3,male,C,Adult,0
0.622184,0,?,1,male,S,Adult,0
0.622184,0,?,3,male,C,NK,2
0.622184,0,?,2,male,S,Adult,1
0.622184,0,?,2,male,S,Adult,2
-0.179487,1,?,3,female,S,Adult,3
-0.179487,1,?,3,female,S,NK,3
0.622184,0,?,1,male,C,Adult,1
0.622184,0,?,3,male,C,Adult,0
-0.179487,1,?,3,female,S,NK,0
-0.179487,1,?,3,female,S,Adult,0
0.622184,0,?,3,male,S,Adult,0
0.622184,0,?,3,male,S,NK,0
0.622184,0,?,3,male,C,Adult,1
0.622184,0,?,1,male,S,NK,0
0.622184,0,?,3,male,S,Adult,0
-0.842105,1,?,2,female,S,Adult,0
-0.934783,1,?,1,female,S,Adult,1
