SectionID,Highway,DIR,LHRS,Offset,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,Latitude,Longitude,FUNC_CLASS
,,,,,,,,,,,,,,,
100010,QEW,E,10004,0,0.23,4.658,85.74,8.97,1.17,AC,FORT ERIE - GILMORE RD IC-5,FORT ERIE - CENTRAL AV IC,42.91913779,-78.96817984,FWY
100020,QEW,W,10004,0,0.23,4.658,91.51,9.54,1.08,AC,FORT ERIE - CENTRAL AV IC,FORT ERIE - GILMORE RD IC-5,42.9095358,-78.91807322,FWY
100030,QEW,E,10014,0,4.658,13.227,89.05,9.09,0.87,AC,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,GILMORE RD I/C,42.97553773,-79.03858602,FWY
100040,QEW,W,10014,0,4.658,13.227,88.16,9.03,0.91,AC,GILMORE RD I/C,NIAG FALLS - 1.0 KM W OF NETHERBY RD IC-12,42.91921024,-78.96796108,FWY
100050,QEW,N,10022,1,13.227,22.091,88.72,9.17,1.01,AC,1.0 KM W OF NETHERBY RD I/C,NIAG FALLS - LYONS CK RD IC-21,42.9756101,-79.03832773,FWY
100060,QEW,S,10022,1,13.227,22.091,89.88,9.15,0.83,AC,NIAG FALLS - LYONS CK RD IC-21,1.0 KM W OF NETHERBY RD I/C,43.03258176,-79.11293313,FWY
100070,QEW,N,10030,0,22.091,29.528,94.92,9.69,0.81,AC,NIAG FALLS - LYONS CK RD IC-21,NIAG FALLS - HWY 420 IC-30,43.03268829,-79.1127298,FWY
100080,QEW,S,10030,0,22.091,29.528,94.36,9.65,0.83,AC,NIAG FALLS - HWY 420 IC-30,NIAG FALLS - LYONS CK RD IC-21,43.09679577,-79.11913777,FWY
100090,QEW,N,10040,0,29.528,34.084,86.97,8.99,1.03,AC,NIAG FALLS - HWY 420 IC-30,MOUNTAIN RD IC-34,43.09668512,-79.1184837,FWY
100100,QEW,S,10040,0,29.528,34.084,77.71,8.18,1.29,AC,MOUNTAIN RD IC-34,NIAG FALLS - HWY 420 IC-30,43.13490305,-79.13168564,FWY
100110,QEW,N,10046,0,34.084,36.544,82.61,8.66,1.21,AC,MOUNTAIN RD IC-34,HWY 405,43.13496661,-79.13133847,FWY
100120,QEW,S,10046,0,34.084,36.544,86.99,9.13,1.19,AC,HWY 405,MOUNTAIN RD IC-34,43.1517895,-79.15095262,FWY
100130,QEW,E,10050,0,36.544,39.723,83.14,8.87,1.39,AC,EAST END GARDEN CITY SKYWAY,HWY 405,43.1639846,-79.18248391,FWY
100140,QEW,W,10050,0,36.544,39.723,87.13,9.14,1.18,AC,HWY 405,EAST END GARDEN CITY SKYWAY,43.15213138,-79.15052119,FWY
100150,QEW,E,10052,1.846,39.723,42.222,72.65,7.97,1.71,AC,WEST END GARDEN CITY SKYWAY,EAST END GARDEN CITY SKYWAY,43.16811995,-79.21039891,FWY
100160,QEW,W,10052,1.846,39.723,42.222,74.93,8.14,1.61,AC,EAST END GARDEN CITY SKYWAY,WEST END GARDEN CITY SKYWAY,43.1648331,-79.18424654,FWY
100170,QEW,E,10052,4.345,42.222,49.551,86.35,8.93,1.04,AC,1.0 KM W OF HWY 406 IC (FIFTH ST),WEST END GARDEN CITY SKYWAY,43.17831127,-79.29531918,FWY
100180,QEW,W,10052,4.345,42.222,49.551,92.83,9.71,1.11,AC,WEST END GARDEN CITY SKYWAY,1.0 KM W OF HWY 406 IC (FIFTH ST),43.16834883,-79.21075904,FWY
100190,QEW,E,10063,1,49.551,51.12,92.14,9.62,0.92,CO,0.60 KM W OF SEVENTH ST IC,1.0 KM W OF HWY 406 IC (FIFTH ST),43.17980489,-79.32726064,FWY
100200,QEW,W,10063,1,49.551,51.12,96.27,9.71,0.61,CO,1.0 KM W OF HWY 406 IC (FIFTH ST),0.60 KM W OF SEVENTH ST IC,43.17897445,-79.30091247,FWY
100210,QEW,E,10064,0.6,51.12,53.44,94.62,9.99,0.98,CO,1.3 KM E OF JORDAN RD IC,0.60 KM W OF SEVENTH ST IC,43.17916924,-79.35391223,FWY
100220,QEW,W,10064,0.6,51.12,53.44,94.6,9.99,0.98,CO,0.60 KM W OF SEVENTH ST IC,1.3 KM E OF JORDAN RD IC,43.18024243,-79.31705007,FWY
100230,QEW,E,10064,2.92,53.44,57.447,95.83,9.99,0.87,CO,0.3 KM E OF VICTORIA AVE IC,1.3 KM E OF JORDAN RD IC,43.18646831,-79.39110424,FWY
100240,QEW,W,10064,2.92,53.44,57.447,96.37,9.99,0.82,CO,1.3 KM E OF JORDAN RD IC,0.3 KM E OF VICTORIA AVE IC,43.17960296,-79.34402267,FWY
100250,QEW,E,10066,2.6,57.447,72.946,97.01,9.89,0.77,AC,1.5 KM E OF CASABLANCA BLVD - IC-74,0.3 KM E OF VICTORIA AVE IC,43.20323529,-79.58020822,FWY
100260,QEW,W,10066,2.6,57.447,72.946,96.63,9.88,0.81,AC,0.3 KM E OF VICTORIA AVE IC,1.5 KM E OF CASABLANCA BLVD - IC-74,43.18664387,-79.39096618,FWY
100270,QEW,E,10083,2.074,72.946,75.599,96.33,9.99,0.83,CO,1.1 KM W OF CASABLANCA BLVD - IC-74,1.5 KM E OF CASABLANCA BLVD - IC-74,43.21011185,-79.60849585,FWY
100280,QEW,W,10083,2.074,72.946,75.599,97.88,9.99,0.68,CO,1.5 KM E OF CASABLANCA BLVD - IC-74,1.1 KM W OF CASABLANCA BLVD - IC-74,43.2033796,-79.58004473,FWY
100290,QEW,E,10085,1.1,75.599,82.463,77.44,8.04,1.16,AC,0.7KM E OF FRUITLANDS RD IC-83,1.1KM W OF CASABLANCA BLVD IC-74,43.22944255,-79.68831747,FWY
100300,QEW,W,10085,1.1,75.599,82.463,79.48,8.23,1.11,AC,1.1KM W OF CASABLANCA BLVD IC-74,0.7KM E OF FRUITLANDS RD IC-83,43.21039785,-79.60893105,FWY
100310,QEW,E,10090,4.383,82.463,86.686,76.79,7.91,1,CO,PINELANDS AV (GRAYS RD UP),0.7KM E OF FRUITLANDS RD IC-83,43.24107246,-79.73655618,FWY
100320,QEW,W,10090,4.383,82.463,86.686,72.97,8.02,1.43,CO,0.7KM E OF FRUITLANDS RD IC-83,PINELANDS AV (GRAYS RD UP),43.2296259,-79.68830889,FWY
100330,QEW,E,10094,3.46,86.686,88.435,87.01,8.88,0.89,AC,HAMILTON - CENTENNIAL PKWY IC-88,PINELANDS AV (GRAYS RD UP),43.24602008,-79.75699532,FWY
100340,QEW,W,10094,3.46,86.686,88.435,87.95,8.96,0.86,AC,PINELANDS AV (GRAYS RD UP),HAMILTON - CENTENNIAL PKWY IC-88,43.24139061,-79.7369077,FWY
100350,QEW,N,10100,0,88.435,91.702,88.3,9.09,0.97,AC,HAMILTON - CENTENNIAL PKWY IC-88,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,43.24621587,-79.75704118,FWY
100360,QEW,S,10100,0,88.435,91.702,88.1,9.09,0.99,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,HAMILTON - CENTENNIAL PKWY IC-88,43.26906142,-79.77757353,FWY
100370,QEW,N,10105,1.603,91.702,93.802,95.42,9.88,0.97,AC,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,BURLINGTON SKYWAY SOUTH END,43.26968083,-79.77789545,FWY
100380,QEW,S,10105,1.603,91.702,93.802,75.56,7.89,1.23,AC,BURLINGTON SKYWAY SOUTH END,2.1 KM S OF BURLINGTON SKYWAY SOUTH - END,43.28839674,-79.7915106,FWY
100390,QEW,N,10105,3.703,93.802,96.332,80.01,8.84,1.77,AC,SOUTH END BURLINGTON SKYWAY,NORTH END BURLINGTON SKYWAY,43.2865764,-79.79020172,FWY
100400,QEW,S,10105,3.703,93.802,96.332,81.16,8.8,1.57,AC,NORTH END BURLINGTON SKYWAY,SOUTH END BURLINGTON SKYWAY,43.30691167,-79.80220457,FWY
